City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,queenstown,-31.8976,26.8753,61.27,66,58,8.7,ZA,1709596862
1,grytviken,-54.2811,-36.5092,35.26,87,100,18.72,GS,1709596759
2,blackmans bay,-43.0167,147.3167,65.73,54,51,1.99,AU,1709596865
3,pakpattan,30.341,73.3866,45.64,41,71,4.05,PK,1709596866
4,port-aux-francais,-49.35,70.2167,43.56,72,82,31.7,TF,1709596868
5,avarua,-21.2078,-159.775,86.05,70,75,12.66,CK,1709596870
6,west island,-12.1568,96.8225,80.58,94,40,10.36,CC,1709596871
7,san antonio de pale,-1.4014,5.6325,83.25,78,76,6.71,GQ,1709596872
8,upper grand lagoon,30.1633,-85.7408,73.42,82,75,14.97,US,1709596873
9,adamstown,-25.066,-130.1015,76.35,72,46,20.76,PN,1709596875
10,hithadhoo,-0.6,73.0833,82.96,76,72,11.16,MV,1709596876
11,albany,42.6001,-73.9662,54.91,78,83,8.75,US,1709596657
12,puerto ayora,-0.7393,-90.3518,80.55,84,7,8.99,EC,1709596878
13,iqaluit,63.7506,-68.5145,-25.87,62,0,9.22,CA,1709596879
14,mil'kovo,55.6078,37.7956,28.89,98,100,3.96,RU,1709596880
15,natal,-5.795,-35.2094,83.05,89,20,3.44,BR,1709596818
16,nguti,5.3299,9.4185,78.78,85,31,2.3,CM,1709596882
17,pisco,-13.7,-76.2167,77.05,78,75,21.85,PE,1709596882
18,qaqortoq,60.7167,-46.0333,5.52,73,47,3.67,GL,1709596883
19,jamestown,42.097,-79.2353,69.39,76,24,12.15,US,1709596698
20,papatowai,-46.5619,169.4708,47.03,69,100,25.46,NZ,1709596885
21,smithfield,41.922,-71.5495,45.64,90,100,10.36,US,1709596702
22,port alfred,-33.5906,26.891,63.18,100,91,3.0,ZA,1709596887
23,christchurch,-43.5333,172.6333,65.32,49,20,17.27,NZ,1709596888
24,ravar,31.2656,56.8055,45.19,71,48,0.47,IR,1709596889
25,bredasdorp,-34.5322,20.0403,63.48,76,96,14.47,ZA,1709596890
26,wewak,-3.5534,143.6268,83.95,75,89,2.28,PG,1709596892
27,edinburgh of the seven seas,-37.0676,-12.3116,63.59,88,96,27.36,SH,1709596893
28,kapuskasing,49.4169,-82.4331,48.29,66,100,6.91,CA,1709596894
29,oyem,1.5995,11.5793,70.18,97,19,2.8,GA,1709596895
30,longyearbyen,78.2186,15.6401,28.24,80,40,4.61,SJ,1709596897
31,chonchi,-42.6128,-73.8092,67.21,84,7,1.66,CL,1709596898
32,les cayes,18.2,-73.75,76.75,77,29,5.75,HT,1709596899
33,bethel,41.3712,-73.414,52.39,79,84,1.01,US,1709596900
34,mirny,62.5353,113.9611,0.23,84,100,7.0,RU,1709596901
35,utrik,11.2278,169.8474,79.66,78,64,23.24,MH,1709596902
36,ushuaia,-54.8,-68.3,56.86,47,0,2.3,AR,1709596903
37,ilulissat,69.2167,-51.1,5.02,56,59,4.61,GL,1709596904
38,lihue,21.9789,-159.3672,81.64,76,35,15.68,US,1709596853
39,berdigestyakh,62.0989,126.6992,-1.34,98,100,1.25,RU,1709596906
40,dzhetygara,52.1908,61.2006,10.92,90,33,9.33,KZ,1709596907
41,mtambile,-5.3833,39.7,82.6,76,100,6.71,TZ,1709596908
42,kafr laha,34.8947,36.4958,48.15,89,1,4.94,SY,1709596909
43,nemuro,43.3236,145.575,25.79,60,19,11.54,JP,1709596910
